SIRA NO;SINIF;DERS ADI;ÜNİTE/TEMA/ ÖĞRENME ALANI;KAZANIM/ÖĞRENME ÇIKTISI/BÖLÜM;E-İÇERİK TÜRÜ;AÇIKLAMA;AI Senaryosu;EBA_URL
1;10;Biyoloji 10;1. ENERJİ;BİY.10.1.1. Canlıların yaşamına devam edebilmesi için enerjinin gerekliliğini sorgulayabilme;Video/Etkileşimli İçerik;Canlıların yaşamına devam edebilmesi için enerjinin gerekliliğini ve önemini, ATP molekülünün yapısı ve enerji dönüşümlerindeki işlevini içeren içerik hazırlanır.;;
2;10;Biyoloji 10;1. ENERJİ;BİY.10.1.2. Fotosentez reaksiyonlarıyla ilgili bilimsel model oluşturabilme;Video/Etkileşimli İçerik;"Fotosentez reaksiyonlarının temel adımlarını gösteren içerik hazırlanır.
Bilim insanlarının geliştirdiği fotosentez reaksiyonu modellerini içeren içerik hazırlanır.";;
3;10;Biyoloji 10;1. ENERJİ;BİY.10.1.3. Fotosentezde kullanılan ve üretilen maddelerle ilgili deney yapabilme;Video/Etkileşimli İçerik;Bilim tarihinde fotosentez ile ilgili yapılan çalışmalara (Jan Baptist van Helmont, Joseph Priestley, Jan Ingenhousz, Melvin Calvin, Robin Hill’in çalışmaları) ilişkin içerik hazırlanır.;;
4;10;Biyoloji 10;1. ENERJİ;Köprü Kurma;Video;Derin deniz ekosistemlerindeki kimyasal enerji üretimini gösteren belgesel tarzı video hazırlanır.;;
5;10;Biyoloji 10;1. ENERJİ;BİY.10.1.5. Canlılarda sindirim çeşitlerini ve yapılarını sınıflandırabilme;Video/Etkileşimli İçerik;"Sindirimin nerede ve nasıl gerçekleştiğini anlatan bir içerik hazırlanır.
Canlılarda sindirim çeşitlerini ve sindirim yapılarını içeren içerik hazırlanır.";;
6;10;Biyoloji 10;1. ENERJİ;BİY.10.1.6. İnsanda enerji eldesi için sindirim, emilim ve taşıma süreçlerinin gerekliliği ile ilgili bilimsel çıkarım yapabilme;Video/Etkileşimli İçerik;"Vücutta su, ilaç, vitamin, karbonhidrat, yağ ve protein gibi moleküllerin sindirimi, emilimi ve taşınımının nasıl gerçekleştiğini içeren içerik hazırlanır.
Besinlerden enerji eldesi için sindirim, emilim ve taşıma süreçlerinin nasıl çalıştığını ve vücudun sağlıklı bir şekilde çalışması için neden önemli olduğunu içeren içerik hazırlanır.";;
7;10;Biyoloji 10;1. ENERJİ;BİY.10.1.7. Hücresel solunum reaksiyonlarıyla ilgili bilimsel model oluşturabilme;Video/Etkileşimli İçerik;Hücresel solunum reaksiyonlarının temel adımlarını (glikoliz, piruvatın oksidasyonu, krebs döngüsü, elektron taşıma sistemi ) gösteren içerik hazırlanır.;;
8;10;Biyoloji 10;1. ENERJİ;"BİY.10.1.8. Farklı besin gruplarından enerji eldesi
süreçlerini karşılaştırabilme";Video/Etkileşimli İçerik;Farklı besin gruplarının hücresel solunumda enerji eldesi süreçleriyle ilgili içerik hazırlanır.;;
9;10;Biyoloji 10;1. ENERJİ;BİY.10.1.9. Fermantasyon ile ilgili deney yapabilme;Video/Etkileşimli İçerik;"Fermantasyon ve sürecini etkileyen faktörleri içeren içerik hazırlanır.
Fermantasyonun farklı tiplerini ve bu süreçte üretilen maddeleri gösteren, laboratuvar ortamında yapılabilecek fermantasyon deneylerinin adım adım açıklandığı bir video hazırlanır.";;
10;10;Biyoloji 10;1. ENERJİ;BİY.10.1.10. Besinlerden elde edilen enerjinin canlının metabolik süreçlerine katkısı ile ilgili bilimsel çıkarım yapabilme;Video/Etkileşimli İçerik;Besinlerden elde edilen enerjinin canlının metabolik süreçlerine ( kas faaliyetleri, biyosentez, sinirsel iletim, aktif taşıma vb. ) katkısıyla ilgili içerik hazırlanır.;;
